termmeetingtime,kind,date,HTML4,HTML5,HTML6,HTML7,HTML8,HTML9,HTML10,HTML11,HTML12,HTML13,term,period,temp_meeting_no,meetingno,testformalmeetingname
第06屆 第06會期 第07次會議,常會,"096/10/19, 096/10/23",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/07/LCEWC03_060607.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/07/LCEWC03_060607.htm,,,,,,,,,6,6,,7,立法院第6屆第6會期第7次
第06屆 第06會期 第06次會議,常會,"096/10/12, 096/10/16",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/06/LCEWC03_060606.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/06/LCEWC03_060606.htm,,,,,,,,,6,6,,6,立法院第6屆第6會期第6次
第06屆 第06會期 第05次會議,常會,"096/10/05, 096/10/05",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/05/LCEWC03_060605.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/05/LCEWC03_060605.htm,,,,,,,,,6,6,,5,立法院第6屆第6會期第5次
第06屆 第06會期 第04次會議,常會,"096/09/28, 096/10/02",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/04/LCEWC03_060604.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/04/LCEWC03_060604.htm,,,,,,,,,6,6,,4,立法院第6屆第6會期第4次
第06屆 第06會期 第03次會議,常會,096/09/27,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/03/LCEWC03_060603.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/03/LCEWC03_060603.htm,,,,,,,,,6,6,,3,立法院第6屆第6會期第3次
第06屆 第06會期 第02次會議,常會,"096/09/11, 096/09/14",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/02/LCEWC03_060602.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/02/LCEWC03_060602.htm,,,,,,,,,6,6,,2,立法院第6屆第6會期第2次
第06屆 第06會期 第01次會議,常會,096/09/07,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/01/LCEWC03_060601.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/01/LCEWC03_060601.htm,,,,,,,,,6,6,,1,立法院第6屆第6會期第1次
第06屆 第05會期 第01次臨時會 第02次會議,臨時會,"096/07/19, 096/07/20",,,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/02/LCEWC03_06050102.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec/03/06/05/01/LCEWC03_060501.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/LCEWC03_060501.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/02/LCEWC03_060502.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/02/LCEWC03_06050102.htm,,,,6,5,1,2,立法院第6屆第5會期第2次
第06屆 第05會期 第01次臨時會 第01次會議,臨時會,"096/07/10, 096/07/13, 096/07/17",,,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/01/LCEWC03_06050101.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec/03/06/05/01/LCEWC03_060501.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/LCEWC03_060501.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/01/LCEWC03_060501.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/06/05/01/01/LCEWC03_06050101.htm,,,,6,5,1,1,立法院第6屆第5會期第1次
第06屆 第05會期 第18次會議,常會,096/06/15,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/18/LCEWC03_060518.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/18/LCEWC03_060518.htm,,,,,,,,,6,5,,18,立法院第6屆第5會期第18次
第06屆 第05會期 第17次會議,常會,096/06/14,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/17/LCEWC03_060517.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/17/LCEWC03_060517.htm,,,,,,,,,6,5,,17,立法院第6屆第5會期第17次
第06屆 第05會期 第16次會議,常會,"096/06/08, 096/06/12",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/16/LCEWC03_060516.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/16/LCEWC03_060516.htm,,,,,,,,,6,5,,16,立法院第6屆第5會期第16次
第06屆 第05會期 第15次會議,常會,"096/06/01, 096/06/05",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/15/LCEWC03_060515.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/15/LCEWC03_060515.htm,,,,,,,,,6,5,,15,立法院第6屆第5會期第15次
第06屆 第05會期 第14次會議,常會,"096/05/25, 096/05/29",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/14/LCEWC03_060514.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/14/LCEWC03_060514.htm,,,,,,,,,6,5,,14,立法院第6屆第5會期第14次
第06屆 第05會期 第13次會議,常會,"096/05/18, 096/05/22",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/13/LCEWC03_060513.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/13/LCEWC03_060513.htm,,,,,,,,,6,5,,13,立法院第6屆第5會期第13次
第06屆 第05會期 第12次會議,常會,"096/05/11, 096/05/15",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/12/LCEWC03_060512.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/12/LCEWC03_060512.htm,,,,,,,,,6,5,,12,立法院第6屆第5會期第12次
第07屆 第02會期 第06次會議,常會,"097/10/24, 097/10/28",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/06/LCEWC03_070206.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/06/LCEWC03_070206.htm,,,,,,,,,7,2,,6,立法院第7屆第2會期第6次
第07屆 第02會期 第05次會議,常會,"097/10/17, 097/10/21",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/05/LCEWC03_070205.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/05/LCEWC03_070205.htm,,,,,,,,,7,2,,5,立法院第7屆第2會期第5次
第07屆 第02會期 第04次會議,常會,097/10/14,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/04/LCEWC03_070204.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/04/LCEWC03_070204.htm,,,,,,,,,7,2,,4,立法院第7屆第2會期第4次
第07屆 第02會期 第03次會議,常會,"097/10/03, 097/10/07",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/03/LCEWC03_070203.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/03/LCEWC03_070203.htm,,,,,,,,,7,2,,3,立法院第7屆第2會期第3次
第07屆 第02會期 第02次會議,常會,"097/09/26, 097/09/30",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/02/LCEWC03_070202.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/02/LCEWC03_070202.htm,,,,,,,,,7,2,,2,立法院第7屆第2會期第2次
第07屆 第02會期 第01次會議,常會,"097/09/19, 097/09/23",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/01/LCEWC03_070201.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/01/LCEWC03_070201.htm,,,,,,,,,7,2,,1,立法院第7屆第2會期第1次
第07屆 第01會期 第19次會議,常會,"097/07/16, 097/07/17, 097/07/18",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/19/LCEWC03_070119.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/19/LCEWC03_070119.htm,,,,,,,,,7,1,,19,立法院第7屆第1會期第19次
第07屆 第01會期 第18次會議,常會,"097/07/08, 097/07/11, 097/07/15",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/18/LCEWC03_070118.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/18/LCEWC03_070118.htm,,,,,,,,,7,1,,18,立法院第7屆第1會期第18次
第07屆 第01會期 第17次會議,常會,"097/06/27, 097/07/04",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/17/LCEWC03_070117.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/17/LCEWC03_070117.htm,,,,,,,,,7,1,,17,立法院第7屆第1會期第17次
第07屆 第01會期 第16次會議,常會,"097/06/19, 097/06/20, 097/06/24",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/16/LCEWC03_070116.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/16/LCEWC03_070116.htm,,,,,,,,,7,1,,16,立法院第7屆第1會期第16次
第07屆 第01會期 第15次會議,常會,"097/06/12, 097/06/13, 097/06/17",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/15/LCEWC03_070115.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/15/LCEWC03_070115.htm,,,,,,,,,7,1,,15,立法院第7屆第1會期第15次
第07屆 第01會期 第14次會議,常會,"097/06/06, 097/06/10",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/14/LCEWC03_070114.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/14/LCEWC03_070114.htm,,,,,,,,,7,1,,14,立法院第7屆第1會期第14次
第07屆 第01會期 第13次會議,常會,"097/05/30, 097/06/03",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/13/LCEWC03_070113.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/13/LCEWC03_070113.htm,,,,,,,,,7,1,,13,立法院第7屆第1會期第13次
第07屆 第01會期 第12次會議,常會,"097/05/23, 097/05/27",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/12/LCEWC03_070112.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/12/LCEWC03_070112.htm,,,,,,,,,7,1,,12,立法院第7屆第1會期第12次
第07屆 第01會期 第11次會議,常會,"097/05/16, 097/05/20",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/11/LCEWC03_070111.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/11/LCEWC03_070111.htm,,,,,,,,,7,1,,11,立法院第7屆第1會期第11次
第07屆 第01會期 第10次會議,常會,097/05/09,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/10/LCEWC03_070110.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/10/LCEWC03_070110.htm,,,,,,,,,7,1,,10,立法院第7屆第1會期第10次
第07屆 第01會期 第09次會議,常會,"097/05/02, 097/05/06",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/09/LCEWC03_070109.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/09/LCEWC03_070109.htm,,,,,,,,,7,1,,9,立法院第7屆第1會期第9次
第07屆 第01會期 第08次會議,常會,"097/04/25, 097/04/29",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/08/LCEWC03_070108.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/08/LCEWC03_070108.htm,,,,,,,,,7,1,,8,立法院第7屆第1會期第8次
第07屆 第01會期 第07次會議,常會,097/04/22,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/07/LCEWC03_070107.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/07/LCEWC03_070107.htm,,,,,,,,,7,1,,7,立法院第7屆第1會期第7次
第07屆 第01會期 第06次會議,常會,097/04/08,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/06/LCEWC03_070106.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/06/LCEWC03_070106.htm,,,,,,,,,7,1,,6,立法院第7屆第1會期第6次
第07屆 第01會期 第05次會議,常會,"097/03/28, 097/04/01",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/05/LCEWC03_070105.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/05/LCEWC03_070105.htm,,,,,,,,,7,1,,5,立法院第7屆第1會期第5次
第07屆 第01會期 第04次會議,常會,"097/03/14, 097/03/25",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/04/LCEWC03_070104.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/04/LCEWC03_070104.htm,,,,,,,,,7,1,,4,立法院第7屆第1會期第4次
第07屆 第01會期 第03次會議,常會,"097/03/07, 097/03/11",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/03/LCEWC03_070103.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/03/LCEWC03_070103.htm,,,,,,,,,7,1,,3,立法院第7屆第1會期第3次
第07屆 第01會期 第02次會議,常會,"097/02/29, 097/03/04",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/02/LCEWC03_070102.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/02/LCEWC03_070102.htm,,,,,,,,,7,1,,2,立法院第7屆第1會期第2次
第07屆 第01會期 第01次會議,常會,"097/02/22, 097/02/26, 097/02/26",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/01/01/LCEWC03_070101.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/01/01/LCEWC03_070101.htm,,,,,,,,,7,1,,1,立法院第7屆第1會期第1次
第07屆 第03會期 第13次會議,常會,"098/05/15, 098/05/19",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/13/LCEWC03_070313.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/13/LCEWC03_070313.htm,,,,,,,,,7,3,,13,立法院第7屆第3會期第13次
第07屆 第03會期 第12次會議,常會,"098/05/08, 098/05/12",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/12/LCEWC03_070312.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/12/LCEWC03_070312.htm,,,,,,,,,7,3,,12,立法院第7屆第3會期第12次
第07屆 第03會期 第11次會議,常會,"098/05/01, 098/05/05",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/11/LCEWC03_070311.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/11/LCEWC03_070311.htm,,,,,,,,,7,3,,11,立法院第7屆第3會期第11次
第07屆 第03會期 第10次會議,常會,"098/04/24, 098/04/28",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/10/LCEWC03_070310.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/10/LCEWC03_070310.htm,,,,,,,,,7,3,,10,立法院第7屆第3會期第10次
第07屆 第03會期 第09次會議,常會,"098/04/17, 098/04/21",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/09/LCEWC03_070309.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/09/LCEWC03_070309.htm,,,,,,,,,7,3,,9,立法院第7屆第3會期第9次
第07屆 第03會期 第08次會議,常會,"098/04/10, 098/04/14",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/08/LCEWC03_070308.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/08/LCEWC03_070308.htm,,,,,,,,,7,3,,8,立法院第7屆第3會期第8次
第07屆 第03會期 第07次會議,常會,"098/04/03, 098/04/07",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/07/LCEWC03_070307.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/07/LCEWC03_070307.htm,,,,,,,,,7,3,,7,立法院第7屆第3會期第7次
第07屆 第03會期 第06次會議,常會,"098/03/27, 098/03/31",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/06/LCEWC03_070306.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/06/LCEWC03_070306.htm,,,,,,,,,7,3,,6,立法院第7屆第3會期第6次
第07屆 第03會期 第05次會議,常會,"098/03/20, 098/03/24",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/05/LCEWC03_070305.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/05/LCEWC03_070305.htm,,,,,,,,,7,3,,5,立法院第7屆第3會期第5次
第07屆 第03會期 第04次會議,常會,"098/03/13, 098/03/17",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/04/LCEWC03_070304.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/04/LCEWC03_070304.htm,,,,,,,,,7,3,,4,立法院第7屆第3會期第4次
第07屆 第03會期 第03次會議,常會,"098/03/06, 098/03/10",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/03/LCEWC03_070303.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/03/LCEWC03_070303.htm,,,,,,,,,7,3,,3,立法院第7屆第3會期第3次
第07屆 第03會期 第02次會議,常會,"098/02/27, 098/03/03",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/02/LCEWC03_070302.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/02/LCEWC03_070302.htm,,,,,,,,,7,3,,2,立法院第7屆第3會期第2次
第07屆 第03會期 第01次會議,常會,"098/02/20, 098/02/24",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/03/01/LCEWC03_070301.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/03/01/LCEWC03_070301.htm,,,,,,,,,7,3,,1,立法院第7屆第3會期第1次
第07屆 第02會期 第01次臨時會 第01次會議,臨時會,098/01/15,,,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/02/01/01/LCEWC03_07020101.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec/03/07/02/01/LCEWC03_070201.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/02/01/LCEWC03_070201.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/02/01/01/LCEWC03_070201.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/02/01/01/LCEWC03_07020101.htm,,,,7,2,1,1,立法院第7屆第2會期第1次
第07屆 第02會期 第17次會議,常會,"098/01/09, 098/01/12, 098/01/13",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/17/LCEWC03_070217.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/17/LCEWC03_070217.htm,,,,,,,,,7,2,,17,立法院第7屆第2會期第17次
第07屆 第02會期 第16次會議,常會,098/01/06,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/16/LCEWC03_070216.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/16/LCEWC03_070216.htm,,,,,,,,,7,2,,16,立法院第7屆第2會期第16次
第07屆 第02會期 第15次會議,常會,"097/12/26, 097/12/30",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/15/LCEWC03_070215.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/15/LCEWC03_070215.htm,,,,,,,,,7,2,,15,立法院第7屆第2會期第15次
第07屆 第02會期 第14次會議,常會,"097/12/19, 097/12/23",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/14/LCEWC03_070214.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/14/LCEWC03_070214.htm,,,,,,,,,7,2,,14,立法院第7屆第2會期第14次
第07屆 第02會期 第13次會議,常會,"097/12/12, 097/12/16",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/13/LCEWC03_070213.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/13/LCEWC03_070213.htm,,,,,,,,,7,2,,13,立法院第7屆第2會期第13次
第07屆 第02會期 第12次會議,常會,"097/12/05, 097/12/09",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/12/LCEWC03_070212.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/12/LCEWC03_070212.htm,,,,,,,,,7,2,,12,立法院第7屆第2會期第12次
第07屆 第02會期 第11次會議,常會,"097/11/28, 097/12/02",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/11/LCEWC03_070211.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/11/LCEWC03_070211.htm,,,,,,,,,7,2,,11,立法院第7屆第2會期第11次
第07屆 第02會期 第10次會議,常會,"097/11/21, 097/11/25",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/10/LCEWC03_070210.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/10/LCEWC03_070210.htm,,,,,,,,,7,2,,10,立法院第7屆第2會期第10次
第07屆 第02會期 第09次會議,常會,"097/11/14, 097/11/18",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/09/LCEWC03_070209.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/09/LCEWC03_070209.htm,,,,,,,,,7,2,,9,立法院第7屆第2會期第9次
第07屆 第02會期 第08次會議,常會,"097/11/07, 097/11/11",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/08/LCEWC03_070208.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/08/LCEWC03_070208.htm,,,,,,,,,7,2,,8,立法院第7屆第2會期第8次
第07屆 第02會期 第07次會議,常會,"097/10/31, 097/11/04",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/02/07/LCEWC03_070207.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/02/07/LCEWC03_070207.htm,,,,,,,,,7,2,,7,立法院第7屆第2會期第7次
第07屆 第05會期 第02次會議,常會,"099/02/26, 099/03/02",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/05/02/LCEWC03_070502.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/05/02/LCEWC03_070502.htm,,,,,,,,,7,5,,2,立法院第7屆第5會期第2次
第07屆 第05會期 第01次會議,常會,099/02/23,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/05/01/LCEWC03_070501.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/05/01/LCEWC03_070501.htm,,,,,,,,,7,5,,1,立法院第7屆第5會期第1次
第07屆 第04會期 第01次臨時會 第01次會議,臨時會,099/01/18,,,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/04/01/01/LCEWC03_07040101.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec/03/07/04/01/LCEWC03_070401.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/04/01/LCEWC03_070401.htm,https://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/04/01/01/LCEWC03_070401.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/03/07/04/01/01/LCEWC03_07040101.htm,,,,7,4,1,1,立法院第7屆第4會期第1次
第07屆 第04會期 第17次會議,常會,"099/01/07, 099/01/08, 099/01/11, 099/01/12",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/17/LCEWC03_070417.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/17/LCEWC03_070417.htm,,,,,,,,,7,4,,17,立法院第7屆第4會期第17次
第07屆 第04會期 第16次會議,常會,099/01/05,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/16/LCEWC03_070416.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/16/LCEWC03_070416.htm,,,,,,,,,7,4,,16,立法院第7屆第4會期第16次
第07屆 第04會期 第15次會議,常會,"098/12/25, 098/12/29",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/15/LCEWC03_070415.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/15/LCEWC03_070415.htm,,,,,,,,,7,4,,15,立法院第7屆第4會期第15次
第07屆 第04會期 第14次會議,常會,"098/12/18, 098/12/22",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/14/LCEWC03_070414.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/14/LCEWC03_070414.htm,,,,,,,,,7,4,,14,立法院第7屆第4會期第14次
第07屆 第04會期 第13次會議,常會,"098/12/11, 098/12/15",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/13/LCEWC03_070413.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/13/LCEWC03_070413.htm,,,,,,,,,7,4,,13,立法院第7屆第4會期第13次
第07屆 第04會期 第12次會議,常會,"098/12/04, 098/12/08",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/12/LCEWC03_070412.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/12/LCEWC03_070412.htm,,,,,,,,,7,4,,12,立法院第7屆第4會期第12次
第07屆 第04會期 第11次會議,常會,"098/11/27, 098/12/01",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/11/LCEWC03_070411.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/11/LCEWC03_070411.htm,,,,,,,,,7,4,,11,立法院第7屆第4會期第11次
第07屆 第04會期 第10次會議,常會,"098/11/20, 098/11/24",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/10/LCEWC03_070410.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/10/LCEWC03_070410.htm,,,,,,,,,7,4,,10,立法院第7屆第4會期第10次
第07屆 第04會期 第09次會議,常會,"098/11/13, 098/11/17",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/09/LCEWC03_070409.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/09/LCEWC03_070409.htm,,,,,,,,,7,4,,9,立法院第7屆第4會期第9次
第07屆 第04會期 第08次會議,常會,"098/11/06, 098/11/10",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/08/LCEWC03_070408.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/08/LCEWC03_070408.htm,,,,,,,,,7,4,,8,立法院第7屆第4會期第8次
第07屆 第04會期 第07次會議,常會,"098/10/30, 098/11/03",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/07/LCEWC03_070407.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/07/LCEWC03_070407.htm,,,,,,,,,7,4,,7,立法院第7屆第4會期第7次
第07屆 第04會期 第06次會議,常會,"098/10/23, 098/10/27",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/06/LCEWC03_070406.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/06/LCEWC03_070406.htm,,,,,,,,,7,4,,6,立法院第7屆第4會期第6次
第07屆 第04會期 第05次會議,常會,"098/10/16, 098/10/20",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/07/04/05/LCEWC03_070405.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/07/04/05/LCEWC03_070405.htm,,,,,,,,,7,4,,5,立法院第7屆第4會期第5次
